id,comentario
1,"best anime ever made there's no doubt about it , watched it without spoilers and it was honestly the best thing I ever watched ."
2,One of the Best Anime ever❣❣
3,Where’s the other parts of the finale?!
4,"Absolutely Brilliant, Was skeptical at first but WOW what a great Show. Highly Recommended"
5,This anime is absolutely the best ever. The story and acting were top-notch and incredible.
6,my favorite piece of media
7,my favorite piece of media
8,my favorite piece of media
9,"Why is this show so popular? Just why? This show is a bunch of mystery boxes that keep you watching while the most stereotypical anime characters spout ridiculous over the top monologues forever on repeat. Honestly I shouldn't be surprised, death note is one of the most popular anime and that thing is camp af."
10,"""Attack on Titan"" didn't really convince me after the first season. Almost the entire season is used for world building and unfortunately that made it a bit boring at times. I also stopped after the first season because I didn't feel like it anymore, but at some point I forced myself to watch the second season. And I was actually surprised, things are finally starting to roll and from then on things are going well. There is no need to talk much about the animation because everyone can see that it is on a completely different level than usual anime. The story is good too, but sometimes a bit too complicated for me personally. I had to pause here unusually often and google things again so that I understood the connections. But if you are looking for a sophisticated action anime with breathtaking animation, ""Attack on Titan"" is the right place."
11,One of the best Animes out there. Must Watch!!!
12,I HATE EVERY LAST ONE OF YOU
13,"Great atmosphere and intriguing story - but its sooo fucking anoying that every episode contains of 50% inner monologue. Show, don’t tell."
14,"It goes without saying why this is many people’s favorite. The plot and characters are so delicately intertwined in both satisfying and heartbreaking ways, shown especially in the final season where the roles are reversed between the main cast and the “new” cast. Very few problems I can detect without an immediate rewatch, which it absolutely deserves another one!"
15,"Attack on titan is not only the best anime you can watch (even if you dont usually like anime series), it is the BEST cinematographic piece of content you will ever see, period. It has beautiful imagery, stunning visuals, amaizing soundtrack that keeps you engaged during the whole series, but on top of all that, the best single characteristic of this show is its story, the way it is delivered. It has several masterfully conducted plot twists and the series gives you just enough information whenever you need it to understand the minimun you need to know. And along the way you start to understand things that you did not understand before and the second time you watch it all you see in a whole different way, understanding everything much better, seeing things that you did not see the first time and thinking “all of this was happening in front of my eyes and I DID NOT NOTICE”. You have not watched Attack on Titan until you have watched it twice."
16,"my fav anime.i can say a lot about this tv show but the review would be too long.so to keep it short,this show is near perfect.mesmerising animation from start to finish,as well as some of the most intricate story telling i’ve ever seen. this shows also got so many crazy moments that give me goosebumps every time i watch them.also has a great soundtrack.eren yaeger is probably one of the most complex characters i’ve ever seen.amazing character development for every character on screen.very happy with the ending.voice acting is spectacular. seasons ranked: 1.season 4 2.season 2 3.season 1 4.season 3 fav characters:reiner,levi,jean,mikasa,eren,commander erwin,"
17,"Atmosphere and vibes extremely creepy, unique too."
18,"There really is nothing quite like Attack on Titan. I literally held my breath through some parts, and I was openly crying during others. It's a tv show and also an experience."
